negation canaries: 91 functional clauses, 91 already done, 0 to run, 2 workers, 6m0s budget each

SITE                               MEMBER                     VERDICT      SECONDS CONTROL    CLAUSE
internal/store/memstore.go:342     (*MemStore).PutTweet       REFUTABLE       44.3 -          forall k int :: 0 <= k && k < old(s.AbsLogLen()) ==> s.AbsLogAt(k) == old(s.Abs…
internal/store/memstore.go:344     (*MemStore).PutTweet       REFUTABLE       68.3 -          old(s.AbsAcceptsTweet(t)) ==> err == nil
internal/store/memstore.go:345     (*MemStore).PutTweet       REFUTABLE       60.1 -          old(s.AbsAcceptsTweet(t)) ==> s.AbsLogLen() == old(s.AbsLogLen()) + 1
internal/store/memstore.go:346     (*MemStore).PutTweet       REFUTABLE       83.3 -          old(s.AbsAcceptsTweet(t)) ==> s.AbsLogAt(old(s.AbsLogLen())) == t
internal/store/memstore.go:347     (*MemStore).PutTweet       REFUTABLE       40.6 -          !old(s.AbsAcceptsTweet(t)) ==> s.AbsLogLen() == old(s.AbsLogLen())
internal/store/memstore.go:527     (*MemStore).HomeTimeline   REFUTABLE      105.6 VACUOUS    len(out) <= limit
internal/store/memstore.go:528     (*MemStore).HomeTimeline   REFUTABLE      490.3 -          forall a, b int :: 0 <= a && a < b && b < len(out) ==> (out[a].CreatedAt > out[…
internal/store/memstore.go:531     (*MemStore).HomeTimeline   REFUTABLE      464.0 VACUOUS    forall a int :: 0 <= a && a < len(out) ==> (out[a].Author == user || (dom.Follo…
internal/store/memstore.go:534     (*MemStore).HomeTimeline   REFUTABLE       97.7 VACUOUS    cursor > 0 ==> forall a int :: 0 <= a && a < len(out) ==> out[a].ID < cursor
internal/store/memstore.go:535     (*MemStore).HomeTimeline   REFUTABLE      369.0 VACUOUS    forall a int :: 0 <= a && a < len(out) ==> exists i int :: 0 <= i && i < s.AbsL…
internal/store/memstore.go:537     (*MemStore).HomeTimeline   REFUTABLE      637.2 VACUOUS    !more ==> forall k int :: 0 <= k && k < s.AbsLogLen() && (cursor <= 0 || s.AbsL…
internal/store/memstore.go:542     (*MemStore).HomeTimeline   REFUTABLE      138.5 VACUOUS    s.AbsUsers() == old(s.AbsUsers())
internal/store/memstore.go:543     (*MemStore).HomeTimeline   REFUTABLE      709.4 VACUOUS    s.AbsFollows() == old(s.AbsFollows())
internal/store/memstore.go:544     (*MemStore).HomeTimeline   REFUTABLE       39.6 VACUOUS    s.AbsLogLen() == old(s.AbsLogLen())
internal/store/memstore.go:775     isMonotoneLog              REFUTABLE       45.4 -          ok ==> forall i, j int :: 0 <= i && i < j && j < len(xs) ==> xs[i].ID < xs[j].I…

91 clauses: 91 refutable, 0 VACUOUS, 0 timed out, 0 ill-formed

full results: evidence/runs/gobra/negation-canaries.json
